# Worldcrafter saved map.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,,,,,,,,,M:8,2,3,,,,,,,,,,,,,,,,,,,,,,,7,,48,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
50,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,,,2,,,,,,,,,,,,,,,,,,,,7,,48,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
50,,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,,,,,,,,,,,,,,,,,,,,,,,7,,31,,,,,57,,,M:8,,,,,59,,,,31,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,23
50,,,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,7,,31,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,31,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,23
50,,,,,,,,,,,,,,,,,,,,M:8,2,3,3,3,3,3,,,,,,2,,,,,,,,,,,,,,,,,7,,31,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,23
50,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,7,,31,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,23
50,,,,,,,,,M:8,,M:8,,M:8,,,,,,2,3,3,3,3,3,3,3,,,,,,,,,2,,,,,,,,,,,,,,7,,31,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,62,,,,,,,,,,,,,,,,,,23
50,,,,,,,,,,,,,,,,,M:8,2,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,7,,31,,,,,,,57,M:8,,,,,,,,9,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23
50,,1,,,,,,,,,,,,,,,2,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,,,,,,7,,31,,,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,,,,2,,,,,,,,,,,,2,2,,,,,,,,,,,23
50,,,,,,,,,,,,,,,,2,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,2,,,,,,,,,,,7,,31,,,,,,,,,,,,,,,,,,,,,,2,3,5,5,5,5,5,5,5,5,5,5,5,3,3,,,,,,,,,,,23
50,51,,,,,,,,,,,,,,2,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,57,57,57,,,7,,31,,,,,,,,,,,,,,,,,,,,,2,3,3,3,5,5,5,5,5,5,5,5,5,5,3,3,,,,,,,,,,,23
50,,,,,,,,,,,,,56,2,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,,57,57,57,,,7,,31,,,,,,,,,,,,,,,,,,,,2,3,3,3,3,5,5,5,5,5,5,5,5,5,5,3,3,,,,,,,,,,,23
50,,,56,,,,,38,,,,,2,3,3,3,3,3,3,3,3,3,3,3,3,3,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,57,57,57,,,7,,31,,,6,,,6,,,6,,6,,,,,,38,,2,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,3,3,,,38,,,,38,,,60,23
2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
