# Worldcrafter saved map.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,7,,23,,,,,,,7,,,,,,,,,,,,,7,,23,23,4,,,,,,7,,,,,,,7,,,,,,,,,,,,,,,,,57,,,,,,57,,,,,,23
50,,,,,,,,,,,,,,7,,23,,,,,,,7,,,,,,,,,,,,,7,,23,,23,4,,,,,7,,,,,,,7,,,,,,61,,,,,,,,,,,57,,,,M:8,,57,,,,60,,23
50,,,,,,,,,,,,,,7,,23,,,,,,,7,,,,,,,,,,,,,7,,23,,,23,4,,,,7,,,,,,,7,,,,4,23,23,23,23,23,,,,,,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23
50,,,,,,,,,,,,,,7,,23,58,,,,,,7,,,,,,,,,,,,,7,,23,,,,23,4,,,7,,,,,,,7,,,4,23,,,,,23,5,5,5,5,5,23,,,,,,,,,,,,,,
50,,,,,,,,,,56,,8,8,8,,23,23,23,23,7,23,23,23,23,,,,,,,,,,,,,,23,,,,,23,4,,7,,,,,,,7,,4,23,,,,,,23,23,5,5,5,5,23,,,,,,,,,,,,,,
50,,,,,,,,,,7,8,8,,,,23,,,,7,,,,,,,,,,,,,,,,,,23,,,,,,23,4,7,,,,M:8,,,7,4,23,,,,,,,23,23,5,5,5,5,23,,,,,,,,,,,,,,
50,,,,,,,,,,7,,,,,,23,,,,7,,,,,,,,,,,,,,,,,,23,,,,,,,23,23,23,23,23,23,23,23,23,23,23,,,,,,,23,23,23,23,23,23,23,,,,,,,,,,,,,,
50,,1,,,,,,,,7,,,,,,23,,,,7,,,,,,,8,8,,8,,,,57,,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,38,,,40,,38,,,7,,,,38,,23,,M:8,,7,,,,58,,,8,8,8,8,,M:8,57,57,57,,,,,,,,,,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
